#CALL [\\爆率系统\天元通用爆率.txt] @焚天石天工之锤
1/6666      时空门票



1/5000         封印护符

1/800          镇虚碑

1/800          灾厄之鸦

1/800          封禁之卷

1/800          源导体

1/800          瑶光

1/800          真视之眼

1/800          雷卷风

1/5000          蔚蓝之心



1/1	200W经验卷

1/1	200W经验卷

1/1	200W经验卷

1/1	500W经验卷

1/1	500W经验卷

1/1	200W经验卷

1/1	200W经验卷

1/1	200W经验卷

1/1	500W经验卷

1/1	500W经验卷

1/8	100W经验卷

1/25	200W经验卷

1/48	500W经验卷

1/68	1000W经验卷

1/188	2000W经验卷

1/288	5000W经验卷

1/588	1亿经验卷

1/1588	2亿经验卷

1/5588	5亿经验卷




1/5	100元宝

1/1	金币红包(小)

1/3	金币红包(小)

1/60 金币红包(中)

1/988 金币红包(大)


1/5	20元宝

1/1	金币红包(小)

1/3	金币红包(小)

1/60 金币红包(中)

1/988 金币红包(大)



1/1	天工之锤

1/1	焚天石

1/1	天工之锤

1/1	焚天石

1/1	天工之锤

1/1	焚天石

1/1	天工之锤

1/1	焚天石

1/38	书页

1/33	幻灵水晶

1/4444	境界丹

1/1888	灵石



1/18	秋露白

1/18	金茎露

1/18	寒潭香

1/18	竹叶青

1/18	女儿红



1/5        超级护身符



1/78888	聚宝盆[封印]

1/488888	蕴含魔力的白骨

1/58888	古龙的传承

1/68888	剑灵之谜



1/18888	天道甲·仙

1/18888	天地·之威



1/488	白玫瑰[奇缘]

1/488	红玫瑰[奇缘]

1/488	修炼指环[秘纹]

1/488	修炼手镯[秘纹]

1/488	—冥炎—

1/488	噬生凝视



1/888	灵魂牢笼
1/888	典狱长的锁链


1/288	[傳奇]防护者



1/888	漩涡

1/888	黑莲项坠

1/888	撒旦の镯

1/888	审判之魂

1/888	圣之·毁灭

1/12888	暗·影之翼

1/888	天神指环

1/888	风魔王冠

1/888	幽·踏青天

1/888	炼狱



1/88	星辰法器[重伤]

1/88	星辉法器[重伤]

1/88	星火法器[重伤]

1/88	星辰法器[刺痛]

1/88	星辉法器[刺痛]

1/88	星火法器[刺痛]

1/188	雷罚☆

1/188	风息☆

1/188	炎袭☆

1/188	冰霜☆



1/388	星辰仙器[命格]

1/388	星辉仙器[命格]

1/388	星火仙器[命格]

1/388	星辰仙器[会心]

1/388	星辉仙器[会心]

1/388	星火仙器[会心]

1/588	御剑☆

1/588	地煞☆

1/588	天谴☆

1/588	噬魂☆



1/1588	星辰神器[轮盘]

1/1588	星辉神器[轮盘]

1/1588	星火神器[轮盘]

1/1588	星辰神器[契约]

1/1588	星辉神器[契约]

1/1588	星火神器[契约]

1/2588	傲命☆

1/2588	暴怒☆

1/2588	残生☆

1/2588	罗刹☆



1/288	妖魔玉佩

1/288	不死之花

1/288	月光钻石

1/288	大佛舍利

1/288	魔晶戒指

1/288	初心手镯



1/888	魔王水晶

1/888	魔王神油

