#CALL [\\爆率系统\天元通用爆率.txt] @焚天石天工之锤
1/66666	时空门票



1/5000         封印护符

1/800          镇虚碑

1/800          灾厄之鸦

1/800          封禁之卷

1/800          源导体

1/800          瑶光

1/800          真视之眼

1/800          雷卷风

1/5000          蔚蓝之心



1/1	50W经验卷

1/1	50W经验卷

1/1	100W经验卷

1/1	100W经验卷

1/10	100W经验卷

1/25	200W经验卷

1/68	500W经验卷

1/158	1000W经验卷

1/288	2000W经验卷

1/588	5000W经验卷

1/1588	1亿经验卷

1/4588	2亿经验卷

1/15588	5亿经验卷



1/38	书页

1/4444	境界丹

1/6888	灵石



1/288	秋露白

1/288	金茎露

1/68	寒潭香

1/68	竹叶青

1/68	女儿红



1/9999        超级护身符



1/78888	聚宝盆[封印]

1/48888	古龙的传承

1/58888	剑灵之谜

1/488888	蕴含魔力的白骨



1/58888	天道甲·仙

1/58888	天地·之威



1/3188	魔族腰带「传承」

1/3188	魔族之靴「传承」

1/3188	赤炎龙王之心

1/3188	藏地の聚光剑

1/3188	「镜·芒」



1/3688	新月之冠

1/3688	月光手环

1/3688	月光印记

1/178888	殇日剑·终结



1/188	星辰法器[重伤]

1/188	星辉法器[重伤]

1/188	星火法器[重伤]

1/188	星辰法器[刺痛]

1/188	星辉法器[刺痛]

1/188	星火法器[刺痛]

1/288	雷罚☆

1/288	风息☆

1/288	炎袭☆

1/288	冰霜☆



1/488	星辰仙器[命格]

1/488	星辉仙器[命格]

1/488	星火仙器[命格]

1/488	星辰仙器[会心]

1/488	星辉仙器[会心]

1/488	星火仙器[会心]

1/688	御剑☆

1/688	地煞☆

1/688	天谴☆

1/688	噬魂☆



1/888	星辰神器[轮盘]

1/888	星辉神器[轮盘]

1/888	星火神器[轮盘]

1/888	星辰神器[契约]

1/888	星辉神器[契约]

1/888	星火神器[契约]

1/1288	傲命☆

1/1288	暴怒☆

1/1288	残生☆

1/1288	罗刹☆



1/288	妖魔玉佩

1/288	不死之花

1/288	月光钻石

1/288	大佛舍利

1/288	魔晶戒指

1/288	初心手镯



1/888	魔王水晶

1/888	魔王神油

1/888	恶魔牙骨

1/888	恶魔之角

1/888	魔罗指环

1/888	魔罗之卵



1/1888	虚耗(太古结界)

1/1888	祖明(太古结界)

1/1888	穷奇(太古结界)

1/1888	疆良(太古结界)

1/1888	伯奇(太古结界)

1/1888	雄伯(太古结界)



1/388	鹿皮靴[时装]

1/388	铁腰带[时装]

1/388	骷髅戒指[时装]

1/388	死神手套[时装]

1/388	蓝翡翠项链[时装]

1/388	骷髅头盔[时装]



1/1288	紫绸靴[时装]

1/1288	青铜腰带[时装]

1/1288	力量戒指[时装]

1/1288	骑士手镯[时装]

1/1288	绿色项链[时装]

1/1288	黑铁头盔[时装]



1/3888	避魂靴[时装]

1/3888	钢铁腰带[时装]

1/3888	圣战戒指[时装]

1/3888	圣战手镯[时装]

